EventName,Division,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,EntryFee,Runs,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
40+ Team Roping Championships - McAlister Apr,,4/12/26,4/12/26,,,,McAlister,OK,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in McAlister, Oklahoma. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping - McAlester April,,4/12/26,4/12/26,,McAlester Arena,,McAlester,OK,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
X-Treme Decatur USTRC / WSTR,,4/17/26,4/19/26,,Decatur Arena,,Decatur,TX,,Team Roping,,,,,X-Treme Team Roping USTRC/WSTR event. Part of the 2026 X-Treme Team Roping circuit.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
40+ Team Roping Championships - Mounds Apr,,4/18/26,4/19/26,,,,Mounds,OK,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Mounds, Oklahoma. Two-day event. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping Championships - Stephenville Apr,,4/18/26,4/19/26,,,,Stephenville,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Stephenville. Two-day event. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping - Mounds April,,4/18/26,4/19/26,,Mounds Arena,,Mounds,OK,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
40+ Team Roping - Stephenville April,,4/18/26,4/19/26,,Stephenville Arena,,Stephenville,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
5th Annual #12.5 Ten Steer Challenge,"#12.5 No Cap, Cowboy Draw",4/18/26,4/18/26,"Cowboy Draw: Books Open 3:00 PM, Rope 4:00 PM; Challenge: Books Close 5:00 PM, Rope 6:00 PM",Taylor Rodeo Grounds,,Taylor,TX,,Team Roping,Jackpot,Saddles to AVG Winners,$80/draw (Cowboy Draw); $200/P1D1 or D2 (Challenge),Enter 3X,"#Number12.5 #CowboyDraw #TenSteer. Brittin Shirley Productions. Two divisions: Cowboy Draw $80/draw enter 3X, AVG winners receive Custom Brittin Shirley Bits, Books Open 3PM Rope 4PM. #12.5 Ten Steer Challenge $200/P1D1 or D2 enter 3X, 75% payback, no cap, progressive after 1, Books close 5PM Rope 6PM, AVG winners receive Saddles, 2nd place Custom Brittin Shirley Bits. Taylor Rodeo Grounds, home of the World Famous Taylor Night Rodeo.",,(928) 707-1044 / (928) 899-4732,,656747538_1965548091021915_4988417886938683742_n.jpg,2026-03-30,YES
South Texas Tour North of 40 Team Roping – Finals,,4/19/26,4/19/26,,,,,TX,,Team Roping,Finals,"$4,000+ Added Money",,,"South Texas Tour North of 40 Finals. $4,000+ added from sponsors. Shootouts $100/man, 85% payback, limit 6 per roper per category. Prizes include saddles, buckles, feed. After 6 qualifying ropings across Gonzales & Hallettsville.",,830-660-7731,,642826225_25886412687635923_3394936817185030405_n.jpg,3/2/26,YES
40+ Team Roping Championships - Kingsville Apr,,4/19/26,4/19/26,,,,Kingsville,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Kingsville. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
SRC Sports Team Roping Series - April 19,,4/19/26,4/19/26,,Badiola Arena,,Homedale,ID,,Team Roping,,,,,"SRC Sports Team Roping Series. Classes: #6 HC (P1D1 or Draw, 4 for $70/run), #4.5 (P1D1 or Draw, 3 for $70/run), #3 (Pick or Draw, 3 for $50/run). Sign up 10-10:45am, Rope @ 11:00am. Enter 6x max, 1/3 cattle charge. Series prize money: 1st $1000, 2nd $750, 3rd $500, 4th $250 (must rope 4 of 6 days). ACTRA Qualifiers - must be 2026 ACTRA member. Cash or card only.",,,,618245025_1376574244274666_433041838272092243_n.jpg,,
40+ Team Roping - Kingsville April,,4/19/26,4/19/26,,Kingsville Arena,,Kingsville,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
ARHFA 2026 - Oil Can Classic,,4/24/26,4/26/26,,,,Ardmore,OK,,Team Roping,Futurity,,,,"American Rope Horse Futurity Association 2026 Oil Can Classic in Ardmore, OK. All dates and locations subject to change.",,,,628068224_1279698137538651_2633477944028677194_n.jpg,3/2/26,YES
74th Annual Three Rivers Lions Team Roping,,4/24/26,4/26/26,"Sign up 7:45 AM, Books close 8:45 AM, Rope 9:00 AM daily",Three Rivers Lions Club Arena,,Three Rivers,CA,,Team Roping,Annual Tournament,"Saddles, $1,000 Added to #8.5 Long Steer, Buckles, Yeti",,,"74th Annual ACTRA event, 3 days. Fri: One Over 40 #8.5 (4/$60), Mixed Jr/Sr #7 (3/$40), All Girl #7 (3/$40), Calf Branding $100/man. Sat: #8.5 & #5.5 Robert Lea Memorial (3/$50), #4.5 (3/$40), Barrel Racing. Sun: Finals + Pig Scramble. Cash only. Free dry camping.",Debmann.Instaproofs.com,209-777-2910 / 559-303-0729 / 559-740-8040,,640066210_18364933657167791_7227711213646041429_n_webp.jpeg,3/2/26,YES
Common Ground Cowboy Church #9.5 Team Roping,,4/25/26,4/25/26,"Books open 8:30 AM, Rope 10:00 AM",Common Ground Cowboy Church,890 State Highway 14S,Kosse,TX,76653,Team Roping,Jackpot,70% Payback & Buckles,,,"#9.5 handicap team roping, 3 head capped at 5.5. $120/man, enter 4 times, enter 1 draw 2 or draw all 3. Progressive after 1st round. Buckles to average winners. Cash only. Producer has right to reclassify.",,281-382-8856 / 281-728-5533,,633656374_4272087983045524_3816991769586232566_n.jpg,3/2/26,YES
Spring Senior Roping Series,,4/25/26,4/25/26,"Books open 9:00 AM, Rope 10:00 AM",Range Riders Arena,,Amarillo,TX,,Team Roping,Series,"WTAMU Box of Beef, Laser Treatment, Equine Massage to High Money Winner",,,"Spring Senior Roping Series. Classes: #7.5 3hd $180 bring 1 draw 2; #8.5 3hd $150 bring 1 draw 1 or draw 2; #10.5 & #9.5 4hd $150. Add-on picks available. Senior membership required: $60 men, $45 women, $30 youth.",,,,645804489_10103069027521810_413198274326186084_n.jpg,3/2/26,YES
40+ Team Roping - Decatur April,,4/26/26,4/26/26,,Decatur Arena,,Decatur,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
WSTR 2026 Qualifier – Cinco de Mayo Saturday,,5/2/26,5/2/26,"Books close 8:30 AM, Rope 9:00 AM",Martin County Community Complex,,Stanton,TX,,Team Roping,WSTR Qualifier,75–80% Payback,,,WSTR 2026 Qualifier – Cinco de Mayo. Saturday classes: #10.5/6.5 heeler cap $300 enter 2x; #9.5/5.5 cap $150; #8.5/4.5 cap both ends $150 enter 3x; #7.5/4 cap 3-steer $150 enter 3x. Must be 21. Draw-in fee $40 extra. 2 arenas used as needed.,wstrroping.com,928-978-4283 / 520-604-6336,,645407354_1451468060106849_3538485193534069427_n.jpg,3/2/26,YES
40+ Team Roping Championships - Jourdanton May,,5/2/26,5/2/26,,,,Jourdanton,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Jourdanton. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping - Jourdanton May,,5/2/26,5/2/26,,Jourdanton Arena,,Jourdanton,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
WSTR 2026 Qualifier – Cinco de Mayo Sunday,,5/3/26,5/3/26,"Books close 8:30 AM, Rope 9:00 AM",Martin County Community Complex,,Stanton,TX,,Team Roping,WSTR Qualifier,75% Payback + Buckles to Average,,,"WSTR 2026 Qualifier – Cinco de Mayo. Sunday classes: #12.5 Slide $100 enter 3x (buckles to avg); #11.5/7.5 cap $150; #12.5, #13.5, #14.5, #15.5 WSTR $150 each enter 2x. Must be 21. Draw-in fee $40 extra. WSTR/USTRC membership required.",wstrroping.com,928-978-4283 / 520-604-6336,,645407354_1451468060106849_3538485193534069427_n.jpg,3/2/26,YES
40+ Team Roping Championships - Halletsville,,5/3/26,5/3/26,,,,Halletsville,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Halletsville. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
X-Treme Cinco de Mayo,,5/3/26,5/3/26,,377 Arena,,Stephenville,TX,,Team Roping,,,,,X-Treme Team Roping Cinco de Mayo event. Part of the 2026 X-Treme Team Roping circuit.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
40+ Team Roping - Hallettsville,,5/3/26,5/3/26,,Hallettsville Arena,,Hallettsville,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
40+ Team Roping Championships - Detroit May,,5/9/26,5/9/26,,,,Detroit,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Detroit, TX. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping Championships - Mounds May,,5/9/26,5/10/26,,,,Mounds,OK,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Mounds, Oklahoma. Two-day event. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
X4 Bar Arena Annual Heading and Heeling Roping School,,5/9/26,5/10/26,9:00 AM,X4 Bar Arena,1803 M Rd,Fruita,CO,,Team Roping,Clinic,Buckles and Prizes,,,"X4 Bar Arena presents Annual Heading and Heeling Roping School taught by Charly Crawford and Kory Koontz. This school fills up fast so reserve your spot soon! Check in at 8:00am, school starts at 9:00am. Lunch served both days. Any level welcome. Buckles and prizes for jackpot at end of school. $600 per person with $300 non-refundable deposit to hold spot. Please let them know if you will need stalls or electric hookups when you secure your spot. Contact Tyler Wortman for questions.",,970-812-7174,,623268511_10230053992844236_4244681855352483814_n.jpg,1/30/26,YES
40+ Team Roping - Mounds May,,5/9/26,5/10/26,,Mounds Arena,,Mounds,OK,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
40+ Team Roping - Detroit May,,5/9/26,5/9/26,,Detroit Arena,,Detroit,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
Crown B Ranch 3rd Annual Masters Team Roping,,5/15/26,5/16/26,"Friday: books open 6 PM, rope 7 PM. Saturday: books open 8 AM, rope 9 AM.",Pima County Fairgrounds,11300 S Houghton Rd,Tucson,AZ,85747,Team Roping,Team Roping Jackpot – Masters,"80% payback, trophy letterman jackets, saddles to average winners",,,"Crown B Ranch 3rd Annual Masters Team Roping, May 15–16, 2026 at Pima County Fairgrounds, Tucson, AZ. Produced by Savantos Land & Cattle and Crown B Ranch LLC. FRIDAY WARM-UP (books open 6 PM, rope 7 PM): #13.5 Hailstorm Roofing Slide – pick or draw $100, enter 4x, 4-steer average, 80% payback, trophy letterman jackets. Junior 12 & Under Tractor Supply Dummy Roping 6 PM. SATURDAY (books open 8 AM, rope 9 AM): #11.5 Saddle Roping – P1/D1 or Draw 2 $150, enter 3x, 4-steer average, no cap, buckles to average winners 2nd–4th. #9.5 Saddle Roping – P1/D1 or Draw 2 $150, enter 3x, 3-steer average, no cap. All ropings 2/3 cash prize payback unless otherwise noted. Must have current USTRC, WS, or NTR card.",crownbranchllc.com,520-405-9588,,645963567_122181255944525754_5204698100728005255_n.jpg,3/2/26,YES
X-Treme Cowboy Capital Classic,,5/15/26,5/15/26,,377 Arena,,Stephenville,TX,,Team Roping,,,,,X-Treme Team Roping Cowboy Capital Classic. Part of the 2026 X-Treme Team Roping circuit.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
Spring Senior Roping Series,,5/16/26,5/16/26,"Books open 9:00 AM, Rope 10:00 AM",Range Riders Arena,,Amarillo,TX,,Team Roping,Series,"WTAMU Box of Beef, Laser Treatment, Equine Massage to High Money Winner",,,"Spring Senior Roping Series. Classes: #7.5 3hd $180 bring 1 draw 2; #8.5 3hd $150 bring 1 draw 1 or draw 2; #10.5 & #9.5 4hd $150. Add-on picks available. Senior membership required: $60 men, $45 women, $30 youth.",,,,645804489_10103069027521810_413198274326186084_n.jpg,3/2/26,YES
40+ Team Roping Championships - Hamilton May,,5/16/26,5/16/26,,,,Hamilton,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Hamilton. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
Wrangler Team Roping WTRC - May,,5/16/26,5/17/26,,Spokane Equestrian Center,,Spokane,WA,,Team Roping,,,,,Wrangler Team Roping Championship (WTRC) event at the Spokane Equestrian Center. Official details coming soon.,,,,622000907_1491210973004945_4901874899566634625_n.jpg,,
40+ Team Roping - Hamilton May,,5/16/26,5/16/26,,Hamilton Arena,,Hamilton,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
Wrangler Team Roping – WTRC Series,,5/16/26,5/17/26,,Spokane Equestrian Center,"Spokane, WA",Spokane,WA,,Team Roping,WTRC Series,,,,Wrangler Team Roping Championship (WTRC) dates. Official details coming soon.,,,,,,YES
40+ Team Roping Championships - Kingsville May,,5/17/26,5/17/26,,,,Kingsville,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Kingsville. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping - Decatur May,,5/17/26,5/17/26,,Decatur Arena,,Decatur,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
40+ Team Roping - Kingsville May,,5/17/26,5/17/26,,Kingsville Arena,,Kingsville,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
Royal Crown OK City,,5/20/26,5/24/26,,OKC Fairgrounds,3001 General Pershing Blvd,Oklahoma City,OK,73107.0,Team Roping,Futurity,,,,Royal Crown OK City at OKC Fairgrounds. Part of the Royal Crown 2026 circuit. Roping and barrel racing will be run simultaneously May 20-24.,royalcrownrace.com,,,591120540_1414798883984726_7779336255221150800_n.jpg,2/1/26,YES
40+ Team Roping Championships - Amarillo,,5/23/26,5/23/26,,,,Amarillo,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Amarillo. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping - Amarillo,,5/23/26,5/23/26,,Amarillo Arena,,Amarillo,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
ARHFA 2026 - Redbud Spectacular,,5/29/26,5/31/26,,,,Oklahoma City,OK,,Team Roping,Futurity,,,,"American Rope Horse Futurity Association 2026 Redbud Spectacular in Oklahoma City, OK. All dates and locations subject to change.",,,,628068224_1279698137538651_2633477944028677194_n.jpg,3/2/26,YES
40+ Team Roping Championships - Weatherford May,,5/30/26,5/31/26,,,,Weatherford,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Weatherford. Two-day season finale event. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping - Andrews May,,5/30/26,5/30/26,,Andrews Arena,,Andrews,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
40+ Team Roping - Weatherford May,,5/30/26,5/31/26,,Weatherford Arena,,Weatherford,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
Spring Senior Roping Series – Finals,,6/6/26,6/6/26,"Books open 9:00 AM, Rope 10:00 AM",Range Riders Arena,,Amarillo,TX,,Team Roping,Finals,"WTAMU Box of Beef, Laser Treatment, Equine Massage to High Money Winner",,,"Spring Senior Roping Series Finals. Classes: #7.5 3hd $180; #8.5 3hd $150; #10.5 & #9.5 4hd $150. Add-on picks available. Senior membership required: $60 men, $45 women, $30 youth.",,,,645804489_10103069027521810_413198274326186084_n.jpg,3/2/26,YES
Wrangler Team Roping WTRC - June,,6/13/26,6/14/26,,Spokane Equestrian Center,,Spokane,WA,,Team Roping,,,,,Wrangler Team Roping Championship (WTRC) event at the Spokane Equestrian Center. Official details coming soon.,,,,622000907_1491210973004945_4901874899566634625_n.jpg,,
ARHFA 2026 - Old West Rope Horse Futurity,,6/16/26,6/20/26,,,,Heber City,UT,,Team Roping,Futurity,,,,"American Rope Horse Futurity Association 2026 Old West Rope Horse Futurity in Heber City, UT. All dates and locations subject to change.",,,,628068224_1279698137538651_2633477944028677194_n.jpg,3/2/26,YES
X-Treme Summer Blast,,7/4/26,7/5/26,,377 Arena,,Stephenville,TX,,Team Roping,,,,,X-Treme Team Roping Summer Blast. Part of the 2026 X-Treme Team Roping circuit.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
X-Treme Stephenville Qualifier,,7/25/26,7/26/26,,377 Arena,,Stephenville,TX,,Team Roping,,,,,X-Treme Team Roping Stephenville Qualifier. Qualifier event for X-Treme Finals.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
Wrangler Team Roping WTRC - July,,7/25/26,7/26/26,,Spokane Equestrian Center,,Spokane,WA,,Team Roping,,,,,Wrangler Team Roping Championship (WTRC) event at the Spokane Equestrian Center. Official details coming soon.,,,,622000907_1491210973004945_4901874899566634625_n.jpg,,
X-Treme Heart of Texas,,8/1/26,8/1/26,,Hamilton Arena,,Hamilton,TX,,Team Roping,,,,,X-Treme Team Roping Heart of Texas event. Part of the 2026 X-Treme Team Roping circuit.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
Royal Crown Rapid City - Roping,,8/4/26,8/9/26,,James Kjerstad Event Center,915 Centre St,Rapid City,SD,57701.0,Team Roping,Futurity,,,,"Royal Crown Rapid City team roping at James Kjerstad Event Center. NEW LOCATION FOR 2026. Part of the Royal Crown circuit. Roping runs August 4-9, following barrel racing July 28 - August 2.",royalcrownrace.com,,,591120540_1414798883984726_7779336255221150800_n.jpg,2/1/26,YES
Wrangler Team Roping WTRC - August,,8/15/26,8/16/26,,Spokane Equestrian Center,,Spokane,WA,,Team Roping,,,,,Wrangler Team Roping Championship (WTRC) event at the Spokane Equestrian Center. Official details coming soon.,,,,622000907_1491210973004945_4901874899566634625_n.jpg,,
X-Treme Finals,,8/20/26,8/23/26,,377 Arena,,Stephenville,TX,,Team Roping,,,,,X-Treme Team Roping Finals. Championship event for the 2026 X-Treme Team Roping circuit. Shoot-Outs to Top 10 in Average of Every Roping.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
Wrangler Team Roping WTRC - September,,9/5/26,9/6/26,,Spokane Equestrian Center,,Spokane,WA,,Team Roping,,,,,Wrangler Team Roping Championship (WTRC) event at the Spokane Equestrian Center. Official details coming soon.,,,,622000907_1491210973004945_4901874899566634625_n.jpg,,
X-Treme Black Star Pipe Roping,,9/12/26,9/13/26,,377 Arena,,Stephenville,TX,,Team Roping,,,,,X-Treme Team Roping Black Star Pipe Roping. Part of the 2026 X-Treme Team Roping circuit.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
X-Treme County Roping / Stephenville Shoot Out,,9/19/26,9/20/26,,377 Arena,,Stephenville,TX,,Team Roping,,,,,X-Treme Team Roping County Roping and Stephenville Shoot Out. Part of the 2026 X-Treme Team Roping circuit.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
2026 ACTRA National Finals,,10/17/26,10/24/26,,Reno Livestock Events Center,,Reno,NV,,Team Roping,National Finals,Multiple Classes,,,"2026 Wrangler/Professional's Choice ACTRA National Finals in Reno, Nevada! 8 days of championship team roping. SAT 10/17: Ladies Breakaway 3/$200, All Girl 4/$75, Handicap Muley 4/$75. SUN 10/18: #10.5 Handicap 4/$75, Mixed Handicap 4/$75, Open Roping 5/$200. MON 10/19: RopeSmart Big Bucks #9 Hdcp Down 4/$300, Century Handicap w/#5.5 Incentive 4/$75, #8.5 Roping 4/$75. TUE 10/20: Gene Aguiar Scholarship Roping 3/$60, #6.5 Over 40 Handicap Down 4/$200, American Elite Rope Horse Sale, Member Reception at Silver Legacy 6pm. WED 10/21: California Custom Super 7 Hdcp Down 5/$150, Scott Thomas Saddles #4.5 Over 40 4/$75. THU 10/22: #5.5 Roping 4/$75. FRI 10/23: Red River Arena #4 Roping 4/$75, Youth & Significant Other Dummy Roping 12pm. SAT 10/24: #3 Roping 4/$75. Enter each roping 4 times except breakaway (2 times). Host hotels: Silver Legacy, Circus Circus.",www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,1/27/26,YES
ARHFA World Championships 2026,,10/21/26,10/24/26,,,,Fort Worth,TX,,Team Roping,World Championship,,,,"American Rope Horse Futurity Association 2026 World Championships in Fort Worth, TX. All dates and locations subject to change.",,,,628068224_1279698137538651_2633477944028677194_n.jpg,3/2/26,YES
X-Treme Jingle Bell Classic,,11/20/26,11/22/26,,377 Arena,,Stephenville,TX,,Team Roping,,,,,X-Treme Team Roping Jingle Bell Classic. Part of the 2026 X-Treme Team Roping circuit.,https://xtremeroping.com,,,592662614_862159979494213_4036556126563153205_n.jpg,,
Zabawa Production Weekly Ropings - Friday #8.5,,Fridays,,9:00 AM,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,,,"#8.5 roping capped at 4+. $150 entry, 3-steer progressive, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
5 Flat Productions Monday Ropings,,Mondays,,9:00 AM,Flying E Ranch,2801 W Wickenburg Way,Wickenburg,AZ,85390,Team Roping,Weekly Jackpot,80% Payout,,,"30+ and Ladies. #12.5, #11.5, #10.5 divisions. $125/roper, 4-steer PA1, enter 3x. Fresh cattle. Cash only.",,970-846-7825,,617960131_1704995653843884_2689894101989205811_n.jpg,1/25/26,YES
Zabawa Production Weekly Ropings - Monday #9.5,,Mondays,,,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,,,"#9.5 roping for 40+ or any age ladies, capped at 5+. $150 entry, 3-steer progressive, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
Team Roping Lessons with Cesar de la Cruz,,Ongoing,,9:00 AM,,,Casa Grande,AZ,,Team Roping,Clinic,,,,"Train with 9-time NFR heeler Cesar de la Cruz in Casa Grande, Arizona. With over $1.3 million in lifetime earnings and three PRCA Tour Finale titles, Cesar brings elite-level experience to every lesson. Private and semi-private sessions are available for ropers of all skill levels looking to improve their technique, timing, and competitive edge. Whether you're working on your swing, positioning, or horse handling, Cesar provides personalized coaching tailored to your goals. His philosophy focuses on giving students all the tools for success in the arena. Contact via social media using #RopeWithCesar to schedule your session and take your heeling to the next level.",,,,574396100_1360897145404590_337187081454450241_n.jpg,1/25/26,YES
High Call Productions Saturday Ropings,,Saturdays,,11:00 AM,Flying E Ranch,2801 Wickenburg Way,Wickenburg,AZ,,Team Roping,Weekly Series,,,,"High Call Productions offers weekend team roping at Flying E Ranch. Books open 9am, close 10am, rope at 10:15am. SATURDAYS (Over 40 & All Ladies): #12.5 Handicap - 4-steer $100/man, enter 3x, 80% payback. #8.5 Handicap (50+ & Ladies) - 3-steer $120/man, enter 3x or draw up to 6. #9.5 Handicap (50+ & Ladies) - 4-steer $150/man, enter 2x or draw up to 4, 70% payback. SUNDAYS (All Ages): #7.5 Handicap - 3-steer $120/man, knives to average winners. #9.5 Handicap - 3-steer $120/man. #11.5 Handicap - 4-steer $150/man, 70% payback. Cash only. USTRC/WSTR card required.",,214-585-2632,,622266550_1277474227771655_3884098997596505531_n.jpg,1/25/26,YES
4D Arena Sunday Funday,,Sundays,,9:00 AM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Team Roping,Weekly Series,Trophy Buckles,,,"Weekly Sunday ropings. #7.5 over 40/ladies $100/man, #8.5 $120/man, #9.5 Handicap $120/man. Trophy buckles.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
High Call Productions Sunday Ropings,,Sundays,,10:00 AM,Flying E Ranch,2801 Wickenburg Way,Wickenburg,AZ,,Team Roping,Weekly Series,Knives,,,"High Call Productions offers weekend team roping at Flying E Ranch. Books open 9am, close 10am, rope at 10:15am. SATURDAYS (Over 40 & All Ladies): #12.5 Handicap - 4-steer $100/man, enter 3x, 80% payback. #8.5 Handicap (50+ & Ladies) - 3-steer $120/man, enter 3x or draw up to 6. #9.5 Handicap (50+ & Ladies) - 4-steer $150/man, enter 2x or draw up to 4, 70% payback. SUNDAYS (All Ages): #7.5 Handicap - 3-steer $120/man, knives to average winners. #9.5 Handicap - 3-steer $120/man. #11.5 Handicap - 4-steer $150/man, 70% payback. Cash only. USTRC/WSTR card required.",,214-585-2632,,622266550_1277474227771655_3884098997596505531_n.jpg,1/25/26,YES
Western Trails Arena Heel-O-Matic Practice,,Tuesdays,,5:00 PM,Western Trails Arena,37839 W Grand Ave,Morristown,AZ,85342,Team Roping,Practice,,,,"Western Trails ""The Bar"" offers weekly Heel-O-Matic practice sessions every Tuesday in Morristown. The morning begins with Heel-O-Matic Dummy Practice from 10:00-11:00 AM ($20/horse), followed by Live Cattle Practice from 11:00 AM-1:00 PM ($40/horse, $25 additional horses). This is an ideal opportunity for ropers to work on their timing and technique in a low-pressure environment with quality cattle. Whether you're tuning up your heel horse or developing your skills, Western Trails provides a professional practice setting with experienced management.",,(208) 899-2621,,615480124_25543813098636346_4702449521010503637_n.jpg,1/25/26,YES
